Terrane,Unit,Age_Ma,age_min,age_max,Rating,S_LONG,S_LAT,P_LONG,P_LAT,A95,Reference,Age_min_Ma,Age_max_Ma,Pole_lon,Pole_lat,A95_deg,Age_err_minus_Ma,Age_err_plus_Ma,Age_range_flag,Ref_lat,Ref_lon,Paleolatitude_64N_28E_deg,Pred_dec_at_ref_deg,Pred_inc_at_ref_deg
Baltica,Ragunda dykes + rapakivi (group 2),1510.0,1493,1519,A,17.0,62.0,164.2,55.6,7.8,"Salminen, J., Elming, S-Å, Mertanen, S., Almqvist, B., Wang, C., Moakhar, M.",1493,1519,164.2,55.6,7.8,17.0,9.0,ok,64.0,28.0,34.25327571502949,28.23521493729573,53.71172108796454
Baltica,Satakunta dyke swarm -C,1578.0,1566,1590,A,21.5,62.0,188.1,29.3,6.6,"Salminen, J., Mertanen, S., Evans, D.A.D.",1566,1590,188.1,29.3,6.6,12.0,12.0,ok,64.0,28.0,4.611056829314094,17.325418167236673,9.163146567057423
Baltica,Åland dyke swarm,1578.0,1566,1590,A,20.0,60.0,192.9,24.1,3.3,"Salminen, J.M., Klein, R., Mertanen, S., Pesonen, L.J., Fröjdö, S., Mänttäri, I., Eklund, O",1566,1590,192.9,24.1,3.3,12.0,12.0,ok,64.0,28.0,-1.1080950049890674,13.75920234318863,-2.215361703594673
Baltica,Hoting basic dykes,1614.0,1590,1638,B,16.2,64.2,146.7,21.9,13.7,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F. INCLUDES data from Elming et al 2004. GFF",1590,1638,146.7,21.9,13.7,24.0,24.0,ok,64.0,28.0,8.04291063943414,55.278755610916996,15.78078430128074
Baltica,Häme + E-W Satakunta,1642.0,1633,1661,A,-3.0,61.0,209.1,26.3,10.9,"Salminen, J., Elming, S-Å, Mertanen, S., Almqvist, B., Wang, C., Moakhar, M.,",1633,1661,209.1,26.3,10.9,9.0,19.0,ok,64.0,28.0,0.30414964667909317,359.0138629247815,0.6082821529087816
Baltica,Häme dyke swarm,1647.0,1633,1661,B,25.1,61.4,209.8,23.6,14.7,"Salminen, J., Klein, R., Veikkolainen, T., Mertanen, S., Mänttäri, I.",1633,1661,209.8,23.6,14.7,14.0,14.0,ok,64.0,28.0,-2.3886330131977758,358.34915580350565,-4.768991808099199
Baltica,Turinge gabbro-diabase,1700.0,1696,1704,A,15.0,63.0,220.2,51.6,4.8,"Elming, Layer, Söderlund",1696,1704,220.2,51.6,4.8,4.0,4.0,ok,64.0,28.0,25.991337168788192,351.6028549862914,44.277445043742546
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions E,1722.0,1710,1734,B,29.6,50.0,163.2,10.7,10.2,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",1710,1734,163.2,10.7,10.2,12.0,12.0,ok,64.0,28.0,-7.976730154751991,44.35862235901306,-15.65570891331447
Baltica,MEAN Ropruchey sill,1751.0,1748,1754,B,35.3,61.4,217.0,39.1,8.6,"Fedotova,M.A., Khramov,A.N., Pisakin,B.N., Priyatkin,A.A.",1748,1754,217.0,39.1,8.6,3.0,3.0,ok,64.0,28.0,13.34651278237429,352.8325132935326,25.3840881069976
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions C+D,1755.0,1740,1770,A,28.6,50.6,169.1,26.5,3.9,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",1740,1770,169.1,26.5,3.9,15.0,15.0,ok,64.0,28.0,5.493033338051561,34.37301626167139,10.886906695518618
Baltica,Shoksha Sandstones,1775.0,1750,1800,B,33.799999,61.299999,221.7,46.8,3.99374511,"Pisarevsky, S.A., Sokolov, S.J.",1750,1800,221.7,46.8,3.99374511,25.0,25.0,ok,64.0,28.0,21.324196829978362,349.9770757235874,37.98060354714293
Baltica,Småland intrusives -C,1776.5,1769,1784,B,15.7,57.1,182.7,45.7,8.0,"Pisarevsky, S., Bylund, G.",1769,1784,182.7,45.7,8.0,7.5,7.5,ok,64.0,28.0,21.497574257028802,18.710683738589605,38.228322397996145
Baltica,Hoting gabbro,1786.0,1776,1796,A,16.2,64.2,233.3,43.0,10.9,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F.",1776,1796,233.3,43.0,10.9,10.0,10.0,ok,64.0,28.0,18.851911823268324,340.7150624909892,34.32831817390197
Baltica-Fennoscandia,Lake Ladoga/ Mean intr. & dykes/ A,1800.0,1744,1819,B,30.0,61.3,229.1,50.9,7.2,"Mertanen, S., Eklund, O., Shebanov, A., Frank-Kamenetsky, D.",1744,1819,229.1,50.9,7.2,56.0,19.0,ok,64.0,28.0,26.076586117362247,345.3584189143534,44.385498078296415
Baltica-Fennoscandia,Notträsk gabbro,1806.0,1800,1812,C+,21.83,65.83,216.2,43.5,6.1,Elming,1800,1812,216.2,43.5,6.1,6.0,6.0,ok,64.0,28.0,17.695412682832043,353.76552157518074,32.54215048836207
Baltica-Fennoscandia,Eastern Murmansk sills,1860.0,1856,1870,B,38.2,68.5,234.7,54.7,5.2,Veselovskiy et al.,1856,1870,234.7,54.7,5.2,4.0,10.0,ok,64.0,28.0,30.47977899500718,342.4657221886084,49.65153320146266
Baltica-Fennoscandia,Keuruu dykes,1869.0,1859,1879,B,24.7,62.3,230.9,45.7,5.5,"Klein, R., Pesonen, L.J., Mänttäri, I., Heinonen, J.S.",1859,1879,230.9,45.7,5.5,10.0,10.0,ok,64.0,28.0,21.175479555789224,343.0552620149157,37.76724778186111
Baltica-Fennoscandia,Svecofennian gabbro intrusions,1885.0,1875,1891,B,25.08,63.9,237.5,46.9,3.5,"Luoto, T., Salminen, J., Mertanen, S., Elming, S.-Å-, Pesonen, L.J.",1875,1891,237.5,46.9,3.5,10.0,6.0,ok,64.0,28.0,23.30153040037972,338.50990616734185,40.74159036254147
Baltica-Kola,Tsuomasvarri Gabbro-Diorite Intrusion,1931.0,1929,1933,B,28.299999,69.900002,247.300003,40.200001,6.015812497,"Mertanen,S., Pesonen,L.J.",1929,1933,247.300003,40.200001,6.015812497,2.0,2.0,ok,64.0,28.0,18.725324517520875,329.2820768653556,34.13523227034082
