Terrane;Unit;Age_Ma;age_min;age_max;Rating;S_LONG;S_LAT;P_LONG;P_LAT;A95;Reference
Baltica;Western Dalarna intrusions;1465;1459;1478;A;14.5;60.8;177.8;26.1;4.2;Gong et al. (2026)
Baltica;MEAN Bunkris/Glysjon/Oje (delete, see comment);1469;1460;1478;B;13.5;61.5;179.8;28.3;13.2;"Mulder (1971); Bylund (1985); Piper (1992a); Piper and Smith (1980)"
Baltica;Mean 1500 (Ragunda-dykes group 1 + Strömsbro rapakivi + Strömsbro dykes +Rödö rapakivi);1499;1491;1519;A;17;62.0;190.1;12.7;10.2;Salminen et al. (2021)
Baltica;Ragunda Formation;1506;1493;1519;B;16.1;63.3;166.6;51.6;7.1;Piper (1979)
Baltica;Ragunda dykes + rapakivi (group 2);1510;1493;1519;A;17;62.0;164.2;55.6;7.8;Salminen et al. (2021)
Baltica;Åland dyke swarm;1578;1566;1590;A;20;60.0;192.9;24.1;3.3;Salminen et al. (2016)
Baltica;Satakunta dyke swarm -C;1578;1566;1590;A;21.5;62.0;188.1;29.3;6.6;Salminen et al. (2014)
Baltica;Hoting basic dykes;1614;1590;1638;B;16.2;64.2;146.7;21.9;13.7;"Elming et al. (2009); Elming et al. (2004)"
Baltica;Häme + E-W Satakunta;1642;1633;1661;A;21--27;61.0;209.1;26.3;10.9;Salminen et al. (2021)
Baltica;Häme dyke swarm;1647;1633;1661;B;25.1;61.4;209.8;23.6;14.7;Salminen et al. (2017)
Baltica;Turinge gabbro-diabase;1700;1696;1704;A;15;63.0;220.2;51.6;4.8;Elming et al. (2019)
Baltica;MEAN Ropruchey sill;1751;1748;1754;B;35.3;61.4;217.0;39.1;8.6;Fedotova et al. (1999)
Baltica;Shoksha Sandstones;1775;1750;1800;B;33.8;61.3;221.1;39.7;4.0;Pisarevsky and Sokolov (2001)
Baltica;Småland intrusives -C;1777;1769;1784;A;15.7;57.1;182.7;45.7;8.0;Pisarevsky and Bylund (2010)
Baltica;Hoting gabbro;1786;1776;1796;A;16.2;64.2;233.3;43.0;10.9;"Elming et al. (2009); Elming et al. (2004)"
Baltica-Fennoscandia;Lake Ladoga, Mean intr. & dykes, A;1800;1744;1819;B;30;61.3;229.1;50.9;7.2;Mertanen et al. (2006)
Baltica-Fennoscandia;Notträsk gabbro;1806;1800;1812;C+;21.83;65.83;216.2;43.5;6.1;Elming (1985)
Baltica-Fennoscandia;Eastern Murmansk sills;1860;1856;1870;B;38.2;68.5;234.7;54.7;5.2;Veselovskiy et al. (2019)
Baltica-Fennoscandia;Keuruu dykes;1869;1859;1879;B;24.7;62.3;230.9;45.7;5.5;Klein et al. (2016)
Baltica-Fennoscandia;Svecofennian gabbro intrusions;1885;1875;1891;B;25.08;63.9;237.5;46.9;3.5;Luoto et al. (2023)
Baltica-Karelia;Onega 1975 Ma Intrusions;1976;1967;1985;A;34;62.1;101.5;44.4;6.3;Lubnina et al. (2017)
Baltica-Karelia;Varpaisjärvi dolerites & basement;2295;2290;2300;B;27.8;63.4;262.3;-17.4;9.8;Mertanen et al. (2006)
Baltica-Karelia;Taivalkoski 2.3 Ga dyke;2339;2321;2357;C+;28.1;65.5;257.3;20.4;6.3;Salminen et al. (2014)
Baltica-Karelia;Kivakka intrusion;2443;2438;2448;B;30.6;65.0;253.7;-16.6;7.6;Lubnina et al. (2025)
Baltica-Karelia;Karelian Dykes;2446;2441;2451;B;30.7;66.0;278.7;-19.9;6.1;Mertanen et l. (1999)
Baltica-Karelia;Mean D Burakovskaya intrusion and remagnetized Avdeev/Shalskiy dykes;2449;2448;2450;B;36.1;61.9;68.5;14.3;9.3;"Sherbakova et al. (2017); Mertanen et al. (2006)"
Baltica-Karelia;Mean D' Shalskiy-Deda-Gorelyi-Glubokaya dyke;2511;2448;2512;B;36.1;61.9;221.9;26.2;4.9;"Sherbakova et al. (2017); Mertanen et al. (2006)"
Baltica-Kola;Tsuomasvarri Gabbro-Diorite Intrusion;1931;1929;1933;B;28.3;69.9;247.3;40.2;6.0;Mertanen and Pesonen (1994)
Baltica-Kola;Kuetsyarvi Formation;2060;2052;2068;B;29.5;69.5;300.8;24.7;16.4;Torsvik and Meert (1995)
Baltica-Kola;Generalskaya Layered Intrusion;2505;2503;2507;C/D;31;69.4;292.7;-42.5;10.4;Arestova et al. (2002)
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions;1722;1710;1734;B;29.6;50.0;163.2;10.7;10.2;Elming et al. (2010)
Baltica-Sarmatia;Volyn-Dniestr-Bug intrusions;1755;1740;1770;A;28.6;50.6;169.1;26.5;3.9;Elming et al. (2010)
